rank,type_,code,name,premium,share
70,L,1,AETNA GRP,"729,000",0.05%
71,L,300,HORACE MANN GRP,"655,529",0.04%
72,L,85928,FAMILY LIBERTY LIFE INS CO,"649,172",0.04%
73,L,306,CUNA MUT GRP,"590,470",0.04%
74,L,872,BANNER LIFE GRP,"580,295",0.04%
75,L,60445,SAGICOR LIFE INS CO,"576,469",0.04%
76,F,56030,CATHOLIC FINANCIAL LIFE,"545,363",0.04%
77,L,1117,MANHATTAN LIFE GRP,"459,450",0.03%
78,L,367,PHYSICIANS MUT GRP,"448,199",0.03%
79,F,57657,ROYAL NEIGHBORS OF AMER,"446,750",0.03%
