rank,type_,code,name,premium,share
19,L,332,PRINCIPAL FIN GRP,"20,914,802",1.53%
20,L,3098,TOKIO MARINE HOLDINGS INC GRP,"20,199,689",1.48%
21,L,91,HARTFORD FIRE & CAS GRP,"20,051,020",1.47%
22,L,1348,MEIJI YASUDA LIFE INS GRP,"19,620,518",1.43%
23,L,769,GREAT WEST GRP,"17,970,886",1.31%
24,L,1216,TIAA FAMILY GRP,"17,750,472",1.30%
25,L,176,STATE FARM GRP,"16,817,232",1.23%
26,L,4855,SUMITOMO LIFE INS GRP,"14,735,507",1.08%
27,L,619,ONEAMERICA FIN PARTNERS GRP,"13,151,382",0.96%
28,L,370,AFLAC GRP,"13,078,533",0.96%
29,L,435,MASS MUT LIFE INS GRP,"12,370,636",0.90%
30,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"12,311,391",0.90%
31,L,968,AXA INS GRP,"12,047,368",0.88%
32,L,431,SAMMONS ENTERPRISES GRP,"11,228,177",0.82%
33,L,429,GUARDIAN LIFE GRP,"11,010,259",0.80%
34,L,761,ALLIANZ INS GRP,"10,674,614",0.78%
35,L,140,NATIONWIDE CORP GRP,"9,681,128",0.71%
36,L,962,PREMERA BLUE CROSS GRP,"9,066,787",0.66%
37,L,549,SUN LIFE ASSUR CO OF CN GRP,"8,426,352",0.62%
38,L,4794,DELAWARE LIFE HOLDING GRP,"8,399,021",0.61%
39,L,4,AMERIPRISE FIN GRP,"8,079,409",0.59%
40,L,860,NORTHWESTERN MUT GRP,"7,834,876",0.57%
41,L,709,PACIFIC LIFE GRP,"7,137,472",0.52%
42,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"7,085,413",0.52%
43,L,3891,GOLDMAN SACHS GRP,"6,992,741",0.51%
44,L,4011,GENWORTH FIN GRP,"6,529,747",0.48%
45,L,290,TORCHMARK CORP GRP,"5,703,326",0.42%
46,L,261,MUTUAL OF OMAHA GRP,"5,532,113",0.40%
47,L,4731,HARBINGER GRP,"5,271,328",0.39%
48,L,781,UNION LABOR GRP,"4,835,877",0.35%
49,L,458,PROTECTIVE LIFE INS GRP,"4,612,604",0.34%
50,L,2658,AMERICAN EQUITY INVESTMENT GRP,"4,566,993",0.33%
51,L,4815,RESOLUTION LIFE GRP,"4,531,465",0.33%
52,L,4750,PRIMERICA GRP,"4,058,736",0.30%
53,L,981,FIDELITY INVESTMENT INS & ANN GRP,"4,048,283",0.30%
54,L,408,AMERICAN NATL FIN GRP,"3,967,950",0.29%
55,L,330,AMERICAN FIDELITY CORP GRP,"3,325,691",0.24%
56,L,8,ALLSTATE INS GRP,"3,316,079",0.24%
57,L,4734,ATHENE GRP,"3,310,635",0.24%
58,L,876,ARKANSAS BCBS GRP,"2,889,955",0.21%
59,L,50,COUNTRY INS & FIN SERV GRP,"2,362,787",0.17%
60,L,300,HORACE MANN GRP,"2,356,226",0.17%
61,L,661,BCBS OF SC GRP,"2,105,613",0.15%
62,L,4483,NESTLE SA GRP,"1,939,081",0.14%
63,L,634,NATIONAL LIFE GRP,"1,937,501",0.14%
64,L,169,SENTRY INS GRP,"1,860,048",0.14%
65,L,4836,JEFFERSON NATIONAL GRP,"1,785,014",0.13%
66,L,449,FINANCIAL HOLDINGS GRP,"1,777,032",0.13%
67,L,704,OHIO NATL LIFE GRP,"1,393,687",0.10%
68,L,84,AMERICAN FINANCIAL GRP,"1,372,167",0.10%
69,L,943,AMERITAS MUT HOLDING GRP,"1,334,920",0.10%
70,L,872,BANNER LIFE GRP,"1,253,860",0.09%
71,L,111,LIBERTY MUT GRP,"1,239,876",0.09%
72,L,3436,LIBERTY LIFE GRP TRUST GRP,"1,218,161",0.09%
73,L,276,TRUSTMARK MUT HOLDING CO GRP,"1,201,637",0.09%
74,L,574,AMERCO CORP GRP,"1,175,601",0.09%
75,L,98,WR BERKLEY CORP GRP,"921,621",0.07%
76,L,2538,AMTRUST NGH GRP,"804,871",0.06%
77,L,836,WEST SOUTHERN GRP,"668,376",0.05%
78,L,450,GENEVE HOLDINGS INC GRP,"653,846",0.05%
79,L,850,PENN MUT GRP,"643,574",0.05%
80,L,690,CENTRAL STATES GRP,"632,976",0.05%
81,L,4213,WILTON RE GRP,"607,571",0.04%
82,L,233,CNO FINANCIAL GRP,"590,495",0.04%
83,F,57142,SONS OF NORWAY,"587,619",0.04%
84,L,62510,EQUITRUST LIFE INS CO,"586,968",0.04%
85,L,64505,HOMESTEADERS LIFE CO,"575,779",0.04%
86,L,4736,GGC GRP,"563,419",0.04%
87,L,367,PHYSICIANS MUT GRP,"549,238",0.04%
88,L,4853,AAA LIFE GRP,"547,539",0.04%
89,L,588,KANSAS CITY LIFE INS GRP,"527,321",0.04%
90,F,58033,KNIGHTS OF COLUMBUS,"510,510",0.04%
91,L,23,BCS INS GRP,"445,263",0.03%
92,L,77879,5 STAR LIFE INS CO,"403,795",0.03%
93,L,1117,MANHATTAN LIFE GRP,"316,420",0.02%
94,L,63290,FIDELITY LIFE ASSN A LEGAL RESERVE L,"297,908",0.02%
95,L,3527,AMERICAN ENTERPRISE MUT GRP,"215,578",0.02%
96,F,58068,INDEPENDENT ORDER OF FORESTERS US BR,"203,195",0.01%
97,L,344,CHURCH PENSION FUND GRP,"178,836",0.01%
98,L,4553,SAVINGS BANK LIFE GRP,"171,483",0.01%
99,L,315,INDUSTRIAL ALLIANCE GRP,"167,465",0.01%
100,L,525,PAN AMER LIFE GRP,"159,199",0.01%
101,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"152,523",0.01%
102,F,57541,MODERN WOODMEN OF AMER,"140,416",0.01%
103,L,65927,LINCOLN HERITAGE LIFE INS CO,"135,994",0.01%
104,L,572,BCBS OF MI GRP,"130,762",0.01%
105,F,57320,WOODMEN WORLD LIFE INS SOC,"130,096",0.01%
106,L,4862,ASSURITY GRP,"128,290",0.01%
107,L,4827,SOUTHLAND NATL HOLDING GRP,"119,406",0.01%
108,L,513,IOWA FARM BUREAU GRP,"119,322",0.01%
109,L,90638,BEST LIFE & HLTH INS CO,"118,170",0.01%
110,L,615,BENEFICIAL LIFE GRP,"105,623",0.01%
111,L,71404,CONTINENTAL GEN INS CO,"102,742",0.01%
112,L,473,AMERICAN FAMILY INS GRP,"100,791",0.01%
113,L,626,CHUBB LTD GRP,"95,533",0.01%
114,L,4716,FORTRESS GRP,"91,935",0.01%
115,L,264,HEALTHMARKETS GRP,"89,327",0.01%
116,L,801,DIRECTORS INVESTMENT GRP,"80,228",0.01%
117,L,76325,SENIOR HLTH INS CO OF PA,"75,129",0.01%
118,L,60445,SAGICOR LIFE INS CO,"70,873",0.01%
119,L,350,GENERAL ELECTRIC GRP,"59,454",0%
120,L,1186,LIFETIME HLTHCARE GRP,"57,268",0%
121,L,69310,SURETY LIFE INS CO,"55,606",0%
122,L,244,CINCINNATI FIN GRP,"46,764",0%
123,L,4712,GPM LIFE GRP,"46,643",0%
124,L,66850,NATIONAL WESTERN LIFE INS CO,"40,776",0%
125,L,28,AMICA MUT GRP,"38,597",0%
1,L,707,UNITEDHEALTH GRP,"1,790,545,574",13.57%
2,L,241,METROPOLITAN GRP,"1,023,485,097",7.75%
3,L,304,PRUDENTIAL OF AMER GRP,"589,462,290",4.47%
4,L,1,AETNA GRP,"550,298,919",4.17%
5,L,12,AMERICAN INTL GRP,"528,797,455",4.01%
6,L,140,NATIONWIDE CORP GRP,"433,579,972",3.29%
7,L,826,NEW YORK LIFE GRP,"428,025,005",3.24%
8,L,431,SAMMONS ENTERPRISES GRP,"416,770,314",3.16%
9,L,901,CIGNA HLTH GRP,"380,847,577",2.89%
10,L,918,JACKSON NATL GRP,"340,432,492",2.58%
11,L,20,LINCOLN NATL GRP,"334,644,041",2.54%
12,L,904,JOHN HANCOCK GRP,"327,680,320",2.48%
13,L,761,ALLIANZ INS GRP,"276,158,374",2.09%
14,L,435,MASS MUT LIFE INS GRP,"266,253,976",2.02%
15,L,468,AEGON US HOLDING GRP,"262,578,426",1.99%
16,L,332,PRINCIPAL FIN GRP,"235,519,041",1.78%
17,L,2658,AMERICAN EQUITY INVESTMENT GRP,"229,013,391",1.74%
18,L,4832,VOYA FINANCIAL GRP,"219,604,669",1.66%
19,L,968,AXA INS GRP,"216,711,910",1.64%
20,L,4734,ATHENE GRP,"189,555,628",1.44%
21,L,1295,CENTENE CORP GRP,"179,305,387",1.36%
22,L,261,MUTUAL OF OMAHA GRP,"164,625,863",1.25%
23,L,4855,SUMITOMO LIFE INS GRP,"158,532,201",1.20%
24,L,709,PACIFIC LIFE GRP,"151,453,374",1.15%
25,L,869,MINNESOTA MUT GRP,"149,213,786",1.13%
26,L,860,NORTHWESTERN MUT GRP,"147,806,034",1.12%
27,L,4731,HARBINGER GRP,"144,877,847",1.10%
28,L,91,HARTFORD FIRE & CAS GRP,"138,898,780",1.05%
29,L,1216,TIAA FAMILY GRP,"123,376,279",0.93%
30,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"112,198,609",0.85%
31,L,565,UNUMPROVIDENT CORP GRP,"108,762,539",0.82%
32,L,429,GUARDIAN LIFE GRP,"105,634,075",0.80%
33,L,4,AMERIPRISE FIN GRP,"101,930,764",0.77%
34,L,176,STATE FARM GRP,"100,500,096",0.76%
35,L,3891,GOLDMAN SACHS GRP,"99,653,135",0.76%
36,L,769,GREAT WEST GRP,"97,863,145",0.74%
37,L,200,UNITED SERV AUTOMOBILE ASSN GRP,"94,515,862",0.72%
38,L,1348,MEIJI YASUDA LIFE INS GRP,"88,520,682",0.67%
39,L,370,AFLAC GRP,"81,253,556",0.62%
40,L,4011,GENWORTH FIN GRP,"77,901,622",0.59%
41,L,458,PROTECTIVE LIFE INS GRP,"77,695,833",0.59%
42,L,19,ASSURANT INC GRP,"73,964,924",0.56%
43,L,619,ONEAMERICA FIN PARTNERS GRP,"64,201,127",0.49%
44,L,66850,NATIONAL WESTERN LIFE INS CO,"56,622,281",0.43%
45,L,634,NATIONAL LIFE GRP,"53,531,830",0.41%
46,L,84,AMERICAN FINANCIAL GRP,"51,457,399",0.39%
47,L,212,ZURICH INS GRP,"51,109,479",0.39%
48,L,408,AMERICAN NATL FIN GRP,"50,904,605",0.39%
49,L,836,WEST SOUTHERN GRP,"50,199,735",0.38%
50,L,943,AMERITAS MUT HOLDING GRP,"49,131,569",0.37%
51,L,704,OHIO NATL LIFE GRP,"46,434,914",0.35%
52,L,306,CUNA MUT GRP,"45,050,230",0.34%
53,L,4750,PRIMERICA GRP,"41,240,587",0.31%
54,L,62510,EQUITRUST LIFE INS CO,"40,468,293",0.31%
55,L,981,FIDELITY INVESTMENT INS & ANN GRP,"39,727,894",0.30%
56,L,850,PENN MUT GRP,"37,442,370",0.28%
57,L,549,SUN LIFE ASSUR CO OF CN GRP,"37,266,886",0.28%
58,L,367,PHYSICIANS MUT GRP,"37,004,077",0.28%
59,L,290,TORCHMARK CORP GRP,"36,493,185",0.28%
60,L,233,CNO FINANCIAL GRP,"36,413,128",0.28%
61,L,111,LIBERTY MUT GRP,"36,405,890",0.28%
62,L,3098,TOKIO MARINE HOLDINGS INC GRP,"36,400,198",0.28%
63,L,88668,MUTUAL OF AMER LIFE INS CO,"34,677,742",0.26%
64,L,4815,RESOLUTION LIFE GRP,"28,927,582",0.22%
65,L,513,IOWA FARM BUREAU GRP,"26,125,728",0.20%
66,L,8,ALLSTATE INS GRP,"23,985,633",0.18%
67,L,473,AMERICAN FAMILY INS GRP,"23,606,799",0.18%
68,L,872,BANNER LIFE GRP,"21,809,238",0.17%
69,L,4736,GGC GRP,"21,705,832",0.16%
70,F,56693,GREEK CATHOLIC UNION OF THE USA,"19,321,821",0.15%
71,L,3527,AMERICAN ENTERPRISE MUT GRP,"17,966,752",0.14%
72,L,50,COUNTRY INS & FIN SERV GRP,"17,937,188",0.14%
73,L,84174,ELCO MUT LIFE & ANN,"17,814,660",0.13%
74,L,4836,JEFFERSON NATIONAL GRP,"17,581,513",0.13%
75,L,450,GENEVE HOLDINGS INC GRP,"17,537,576",0.13%
76,L,4824,ADVANTAGE CAPITAL GRP,"17,229,829",0.13%
77,L,451,FIDELITY SECURITY GRP,"14,739,863",0.11%
78,F,58033,KNIGHTS OF COLUMBUS,"14,246,062",0.11%
79,L,449,FINANCIAL HOLDINGS GRP,"14,090,886",0.11%
80,L,276,TRUSTMARK MUT HOLDING CO GRP,"13,040,729",0.10%
81,L,4794,DELAWARE LIFE HOLDING GRP,"12,661,295",0.10%
82,L,1117,MANHATTAN LIFE GRP,"12,540,977",0.10%
83,L,839,WESTBRIDGE CAPITAL GRP,"12,413,178",0.09%
84,L,661,BCBS OF SC GRP,"12,012,795",0.09%
85,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"11,546,256",0.09%
86,L,4853,AAA LIFE GRP,"10,243,779",0.08%
87,L,4483,NESTLE SA GRP,"10,204,198",0.08%
88,L,60445,SAGICOR LIFE INS CO,"10,008,737",0.08%
89,F,57541,MODERN WOODMEN OF AMER,"8,203,538",0.06%
90,F,58068,INDEPENDENT ORDER OF FORESTERS US BR,"8,180,612",0.06%
91,L,330,AMERICAN FIDELITY CORP GRP,"7,974,115",0.06%
92,L,62952,EQUITABLE LIFE & CAS INS CO,"7,734,806",0.06%
93,L,1280,GREAT WESTERN CO GRP,"7,679,643",0.06%
94,L,98,WR BERKLEY CORP GRP,"7,543,744",0.06%
95,L,65927,LINCOLN HERITAGE LIFE INS CO,"7,440,048",0.06%
96,L,588,KANSAS CITY LIFE INS GRP,"6,346,506",0.05%
97,L,169,SENTRY INS GRP,"6,057,221",0.05%
98,L,264,HEALTHMARKETS GRP,"5,980,661",0.05%
99,L,812,HIGHMARK GRP,"5,763,591",0.04%
100,L,4213,WILTON RE GRP,"5,646,472",0.04%
101,L,574,AMERCO CORP GRP,"4,981,837",0.04%
102,F,57657,ROYAL NEIGHBORS OF AMER,"4,769,296",0.04%
103,L,215,KEMPER CORP GRP,"4,334,497",0.03%
104,L,300,HORACE MANN GRP,"4,304,820",0.03%
105,L,280,AUTO OWNERS GRP,"4,071,240",0.03%
106,L,525,PAN AMER LIFE GRP,"4,054,440",0.03%
107,L,615,BENEFICIAL LIFE GRP,"3,732,320",0.03%
108,L,917,HCSC GRP,"3,606,675",0.03%
109,L,4862,ASSURITY GRP,"3,553,332",0.03%
110,L,63495,FORESTERS LIFE INS ANN CO,"3,300,981",0.03%
111,L,4712,GPM LIFE GRP,"3,258,969",0.02%
112,L,626,CHUBB LTD GRP,"3,258,014",0.02%
113,L,315,INDUSTRIAL ALLIANCE GRP,"3,179,926",0.02%
114,L,91910,AMERICAN SAVINGS LIFE INS CO,"3,095,877",0.02%
115,L,535,COLUMBIAN LIFE GRP,"2,907,532",0.02%
116,L,63290,FIDELITY LIFE ASSN A LEGAL RESERVE L,"2,844,948",0.02%
117,L,77879,5 STAR LIFE INS CO,"2,754,553",0.02%
118,L,4553,SAVINGS BANK LIFE GRP,"2,723,533",0.02%
119,L,244,CINCINNATI FIN GRP,"2,675,566",0.02%
120,L,7,FEDERATED MUT GRP,"2,653,192",0.02%
121,L,31,BERKSHIRE HATHAWAY GRP,"2,645,840",0.02%
122,L,2538,AMTRUST NGH GRP,"2,515,052",0.02%
123,L,64505,HOMESTEADERS LIFE CO,"2,482,053",0.02%
124,L,3436,LIBERTY LIFE GRP TRUST GRP,"2,328,250",0.02%
125,L,4716,FORTRESS GRP,"2,277,687",0.02%
1,L,707,UNITEDHEALTH GRP,"275,487,748",6.74%
2,L,431,SAMMONS ENTERPRISES GRP,"178,765,302",4.37%
3,L,304,PRUDENTIAL OF AMER GRP,"169,502,618",4.15%
4,L,241,METROPOLITAN GRP,"149,459,039",3.66%
5,L,12,AMERICAN INTL GRP,"141,120,159",3.45%
6,L,918,JACKSON NATL GRP,"137,541,918",3.36%
7,L,1216,TIAA FAMILY GRP,"124,998,699",3.06%
8,L,435,MASS MUT LIFE INS GRP,"114,510,951",2.80%
9,L,904,JOHN HANCOCK GRP,"109,380,407",2.68%
10,L,140,NATIONWIDE CORP GRP,"109,001,327",2.67%
11,L,826,NEW YORK LIFE GRP,"105,912,910",2.59%
12,L,468,AEGON US HOLDING GRP,"101,264,713",2.48%
13,L,4832,VOYA FINANCIAL GRP,"88,211,751",2.16%
14,L,20,LINCOLN NATL GRP,"84,413,924",2.06%
15,L,1,AETNA GRP,"82,173,286",2.01%
16,L,565,UNUMPROVIDENT CORP GRP,"81,881,508",2.00%
17,L,68896,SOUTHERN FARM BUREAU LIFE INS CO,"78,693,288",1.92%
18,L,261,MUTUAL OF OMAHA GRP,"76,438,799",1.87%
19,L,370,AFLAC GRP,"73,932,330",1.81%
20,L,860,NORTHWESTERN MUT GRP,"73,773,147",1.80%
21,L,176,STATE FARM GRP,"70,271,232",1.72%
22,L,3891,GOLDMAN SACHS GRP,"68,724,614",1.68%
23,L,869,MINNESOTA MUT GRP,"64,978,677",1.59%
24,L,332,PRINCIPAL FIN GRP,"60,930,043",1.49%
25,L,4734,ATHENE GRP,"60,618,228",1.48%
26,L,901,CIGNA HLTH GRP,"57,795,124",1.41%
27,L,968,AXA INS GRP,"51,966,008",1.27%
28,L,91,HARTFORD FIRE & CAS GRP,"46,751,344",1.14%
29,L,4,AMERIPRISE FIN GRP,"45,490,059",1.11%
30,L,876,ARKANSAS BCBS GRP,"44,793,863",1.10%
31,L,3098,TOKIO MARINE HOLDINGS INC GRP,"39,899,846",0.98%
32,F,57541,MODERN WOODMEN OF AMER,"38,372,155",0.94%
33,L,458,PROTECTIVE LIFE INS GRP,"37,852,536",0.93%
34,L,4855,SUMITOMO LIFE INS GRP,"37,630,602",0.92%
35,L,761,ALLIANZ INS GRP,"36,224,141",0.89%
36,L,2658,AMERICAN EQUITY INVESTMENT GRP,"36,041,141",0.88%
37,L,290,TORCHMARK CORP GRP,"35,945,354",0.88%
38,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"33,380,139",0.82%
39,L,704,OHIO NATL LIFE GRP,"31,277,927",0.77%
40,L,429,GUARDIAN LIFE GRP,"31,024,875",0.76%
41,L,709,PACIFIC LIFE GRP,"28,948,302",0.71%
42,L,1348,MEIJI YASUDA LIFE INS GRP,"28,203,872",0.69%
