rank,type_,code,name,premium,share
31,L,473,AMERICAN FAMILY INS GRP,"23,083,535",0.98%
32,L,761,ALLIANZ INS GRP,"21,266,930",0.90%
33,L,769,GREAT WEST GRP,"20,366,485",0.86%
34,L,850,PENN MUT GRP,"20,217,406",0.86%
35,L,634,NATIONAL LIFE GRP,"19,493,734",0.83%
36,L,619,ONEAMERICA FIN PARTNERS GRP,"19,073,414",0.81%
37,L,872,BANNER LIFE GRP,"18,659,488",0.79%
38,L,1,AETNA GRP,"18,658,675",0.79%
39,L,19,ASSURANT INC GRP,"16,724,282",0.71%
40,L,704,OHIO NATL LIFE GRP,"16,558,365",0.70%
41,L,918,JACKSON NATL GRP,"15,567,043",0.66%
42,L,836,WEST SOUTHERN GRP,"15,396,983",0.65%
43,L,4855,SUMITOMO LIFE INS GRP,"15,372,288",0.65%
44,L,111,LIBERTY MUT GRP,"15,107,546",0.64%
45,L,3891,GOLDMAN SACHS GRP,"15,020,625",0.64%
46,L,4,AMERIPRISE FIN GRP,"14,588,061",0.62%
47,L,50,COUNTRY INS & FIN SERV GRP,"14,432,570",0.61%
48,L,549,SUN LIFE ASSUR CO OF CN GRP,"13,874,934",0.59%
49,L,408,AMERICAN NATL FIN GRP,"12,352,496",0.52%
50,L,943,AMERITAS MUT HOLDING GRP,"12,132,769",0.51%
51,L,513,IOWA FARM BUREAU GRP,"12,067,663",0.51%
52,L,8,ALLSTATE INS GRP,"11,625,686",0.49%
53,L,1216,TIAA FAMILY GRP,"11,249,659",0.48%
54,L,1348,MEIJI YASUDA LIFE INS GRP,"10,459,981",0.44%
55,L,62510,EQUITRUST LIFE INS CO,"9,478,715",0.40%
56,L,233,CNO FINANCIAL GRP,"9,166,750",0.39%
57,L,4731,HARBINGER GRP,"9,128,109",0.39%
58,L,306,CUNA MUT GRP,"8,637,814",0.37%
59,L,4853,AAA LIFE GRP,"8,443,553",0.36%
60,L,1211,NATIONAL GUARDIAN LIFE INS GRP,"8,391,134",0.36%
61,F,58068,INDEPENDENT ORDER OF FORESTERS US BR,"7,671,613",0.33%
62,L,1280,GREAT WESTERN CO GRP,"7,408,398",0.31%
63,L,65927,LINCOLN HERITAGE LIFE INS CO,"7,337,158",0.31%
64,F,58033,KNIGHTS OF COLUMBUS,"6,869,852",0.29%
65,L,4736,GGC GRP,"6,311,111",0.27%
66,L,4213,WILTON RE GRP,"5,446,332",0.23%
67,L,66850,NATIONAL WESTERN LIFE INS CO,"5,344,801",0.23%
68,L,707,UNITEDHEALTH GRP,"5,135,883",0.22%
69,L,3098,TOKIO MARINE HOLDINGS INC GRP,"5,132,675",0.22%
70,L,4483,NESTLE SA GRP,"5,037,808",0.21%
71,L,588,KANSAS CITY LIFE INS GRP,"4,990,428",0.21%
72,L,276,TRUSTMARK MUT HOLDING CO GRP,"4,894,014",0.21%
73,L,449,FINANCIAL HOLDINGS GRP,"4,248,783",0.18%
74,L,615,BENEFICIAL LIFE GRP,"3,652,410",0.15%
75,L,370,AFLAC GRP,"3,581,461",0.15%
76,L,4734,ATHENE GRP,"3,365,039",0.14%
77,L,525,PAN AMER LIFE GRP,"3,136,775",0.13%
78,L,367,PHYSICIANS MUT GRP,"3,024,089",0.13%
79,L,315,INDUSTRIAL ALLIANCE GRP,"2,984,113",0.13%
80,L,63290,FIDELITY LIFE ASSN A LEGAL RESERVE L,"2,826,426",0.12%
81,L,77879,5 STAR LIFE INS CO,"2,754,553",0.12%
82,L,4553,SAVINGS BANK LIFE GRP,"2,723,533",0.12%
83,L,244,CINCINNATI FIN GRP,"2,610,196",0.11%
84,L,917,HCSC GRP,"2,470,322",0.10%
85,L,64505,HOMESTEADERS LIFE CO,"2,384,697",0.10%
86,L,4862,ASSURITY GRP,"2,346,934",0.10%
87,L,63495,FORESTERS LIFE INS ANN CO,"2,136,113",0.09%
88,F,57541,MODERN WOODMEN OF AMER,"1,983,800",0.08%
89,L,7,FEDERATED MUT GRP,"1,846,115",0.08%
90,L,68772,SECURITY MUT LIFE INS CO OF NY,"1,736,836",0.07%
91,L,61212,BALTIMORE LIFE INS CO,"1,669,098",0.07%
92,L,330,AMERICAN FIDELITY CORP GRP,"1,615,672",0.07%
93,L,60445,SAGICOR LIFE INS CO,"1,598,119",0.07%
94,L,535,COLUMBIAN LIFE GRP,"1,584,079",0.07%
95,L,77690,TRANS CITY LIFE INS CO,"1,477,500",0.06%
96,L,300,HORACE MANN GRP,"1,386,326",0.06%
97,L,280,AUTO OWNERS GRP,"1,371,632",0.06%
98,F,57657,ROYAL NEIGHBORS OF AMER,"1,201,764",0.05%
99,L,839,WESTBRIDGE CAPITAL GRP,"1,199,708",0.05%
100,L,2878,UNITED HERITAGE MUT GRP,"1,198,403",0.05%
101,L,153,PEKIN INS GRP,"1,137,986",0.05%
102,L,4716,FORTRESS GRP,"1,074,399",0.05%
103,L,801,DIRECTORS INVESTMENT GRP,"1,072,212",0.05%
104,L,84,AMERICAN FINANCIAL GRP,"1,063,330",0.05%
105,L,4712,GPM LIFE GRP,"1,032,222",0.04%
106,L,28,AMICA MUT GRP,"979,433",0.04%
107,L,542,INDIANA FARM BUREAU GRP,"894,088",0.04%
108,F,57320,WOODMEN WORLD LIFE INS SOC,"883,502",0.04%
109,L,4827,SOUTHLAND NATL HOLDING GRP,"868,716",0.04%
110,L,574,AMERCO CORP GRP,"787,230",0.03%
111,L,4824,ADVANTAGE CAPITAL GRP,"755,604",0.03%
112,L,169,SENTRY INS GRP,"746,414",0.03%
113,L,4725,ENSTAR GRP,"743,707",0.03%
114,L,31,BERKSHIRE HATHAWAY GRP,"678,999",0.03%
115,L,62928,EMC NATL LIFE CO,"643,377",0.03%
116,L,64580,ILLINOIS MUT LIFE INS CO,"616,048",0.03%
117,L,215,KEMPER CORP GRP,"609,570",0.03%
118,L,661,BCBS OF SC GRP,"596,367",0.03%
119,L,1117,MANHATTAN LIFE GRP,"519,917",0.02%
120,L,87920,LOCOMOTIVE ENGINEERS & CONDUCTORS MU,"513,026",0.02%
121,L,626,CHUBB LTD GRP,"500,211",0.02%
122,L,264,HEALTHMARKETS GRP,"495,925",0.02%
123,F,56030,CATHOLIC FINANCIAL LIFE,"479,961",0.02%
124,F,56758,LOYAL CHRISTIAN BENEFIT ASSN,"465,148",0.02%
125,L,78662,SENIOR LIFE INS CO,"460,785",0.02%
1,L,431,SAMMONS ENTERPRISES GRP,"91,470,360",7.52%
2,L,435,MASS MUT LIFE INS GRP,"72,356,967",5.95%
3,L,241,METROPOLITAN GRP,"65,380,803",5.37%
4,L,826,NEW YORK LIFE GRP,"55,338,855",4.55%
5,L,68896,SOUTHERN FARM BUREAU LIFE INS CO,"52,035,690",4.28%
6,L,176,STATE FARM GRP,"51,040,364",4.20%
7,L,304,PRUDENTIAL OF AMER GRP,"49,392,194",4.06%
8,L,860,NORTHWESTERN MUT GRP,"44,957,675",3.70%
9,L,20,LINCOLN NATL GRP,"35,365,686",2.91%
10,L,140,NATIONWIDE CORP GRP,"29,262,914",2.41%
11,L,468,AEGON US HOLDING GRP,"24,600,681",2.02%
12,L,12,AMERICAN INTL GRP,"24,538,577",2.02%
13,L,458,PROTECTIVE LIFE INS GRP,"24,351,610",2.00%
14,L,869,MINNESOTA MUT GRP,"23,939,042",1.97%
15,L,565,UNUMPROVIDENT CORP GRP,"23,636,358",1.94%
16,L,123,SHELTER INS GRP,"22,879,617",1.88%
17,L,290,TORCHMARK CORP GRP,"21,217,222",1.74%
18,L,904,JOHN HANCOCK GRP,"20,567,813",1.69%
19,L,261,MUTUAL OF OMAHA GRP,"19,708,536",1.62%
20,L,876,ARKANSAS BCBS GRP,"18,250,848",1.50%
21,L,91,HARTFORD FIRE & CAS GRP,"17,155,927",1.41%
22,L,4832,VOYA FINANCIAL GRP,"14,712,111",1.21%
23,L,1348,MEIJI YASUDA LIFE INS GRP,"13,827,333",1.14%
24,L,3891,GOLDMAN SACHS GRP,"13,033,309",1.07%
25,L,4750,PRIMERICA GRP,"12,813,338",1.05%
26,L,704,OHIO NATL LIFE GRP,"12,200,039",1.00%
27,L,968,AXA INS GRP,"11,729,670",0.96%
28,L,429,GUARDIAN LIFE GRP,"10,653,350",0.88%
29,L,212,ZURICH INS GRP,"10,601,837",0.87%
30,L,215,KEMPER CORP GRP,"10,558,243",0.87%
31,L,709,PACIFIC LIFE GRP,"10,519,109",0.86%
32,F,57541,MODERN WOODMEN OF AMER,"10,201,705",0.84%
33,L,918,JACKSON NATL GRP,"10,195,224",0.84%
34,L,408,AMERICAN NATL FIN GRP,"9,962,995",0.82%
35,L,4011,GENWORTH FIN GRP,"9,580,875",0.79%
36,F,57320,WOODMEN WORLD LIFE INS SOC,"8,800,941",0.72%
37,L,19,ASSURANT INC GRP,"8,781,409",0.72%
38,L,65927,LINCOLN HERITAGE LIFE INS CO,"8,727,290",0.72%
39,B,2938,THRIVENT FINANCIAL FOR LUTHERANS GRP,"7,749,200",0.64%
40,L,83836,SELECTED FUNERAL & LIFE INS CO,"7,616,839",0.63%
41,L,233,CNO FINANCIAL GRP,"7,492,107",0.62%
42,L,4,AMERIPRISE FIN GRP,"7,382,199",0.61%
43,L,332,PRINCIPAL FIN GRP,"7,350,562",0.60%
44,L,4815,RESOLUTION LIFE GRP,"7,163,558",0.59%
45,L,111,LIBERTY MUT GRP,"6,997,685",0.58%
46,L,901,CIGNA HLTH GRP,"6,243,662",0.51%
47,L,850,PENN MUT GRP,"6,109,741",0.50%
